Subject;Name of the Institution;Province
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100046;Museo dell'Abruzzo bizantino ed alto medioevo;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100046;Museo dell'Abruzzo bizantino ed alto medioevo;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100047;Raccolta comunale di beni culturali di Crecchio;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100047;Raccolta comunale di beni culturali di Crecchio;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100048;Museo naturalistico archeologico di Fara San Martino;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100048;Museo naturalistico archeologico di Fara San Martino;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100049;"Fondazione Michetti ""Mu.Mi.""";Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100049;"Fondazione Michetti ""Mu.Mi.""";Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100051;Museo del Duomo di Guardiagrele;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100051;Museo del Duomo di Guardiagrele;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100053;Centro documentazione museale S. Nicola;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100053;Centro documentazione museale S. Nicola;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100054;Museo diocesano di Lanciano e sezione di Ortona;Chieti
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100054;Museo diocesano di Lanciano e sezione di Ortona;Chieti
